点号,X,Y,高程异常ζ,类型
"1","46.0491","89.6995","-3.9739","已知"
"2","40.8576","99.6299","-3.5376","已知"
"3","38.4841","92.1108","-3.7673","已知"
"4","17.0032","98.8406","-3.3261","已知"
"5","22.1838","101.9830","-3.2858","已知"
"6","19.0450","106.2452","-3.0561","已知"
"7","46.5016","105.1646","-3.3998","已知"
"8","32.3969","110.7557","-3.0036","已知"
"9","27.9913","123.9794","-2.4262","已知"
"10","43.8827","143.2226","-1.9400","已知"
"11","23.8734","138.8852","-1.7396","已知"
"12","25.5653","145.7765","-1.5224","已知"
"13","36.3441","123.2001","-2.5805","计算"
"14","34.5588","126.6291","-2.4211","计算"
"15","34.9654","131.8336","-2.2242","计算"
"16","30.5073","129.2705","-2.2556","计算"
"17","38.5731","134.9822","-2.1607","计算"
"18","31.7270","137.7843","-1.9372","计算"
